SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
99945743,Skullcandy,Audífonos In ear WTS Dime Negro,2,17.990
99948256,Beats,Audífonos In-Ear Beats Flex - Azul Flama,1,48.990
99934229,Sony,Audífonos MDR-EX110APB Negro,1,7.990
99939732,Vivitar,Audífonos in ear Air Vibes TWS Negro,1,9.990
Banda Ancha Móvil,,,,
SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
99925669,Huawei,BAM Huawei E8372 (4G + Wifi) Entel,6,14.990
99921909,Huawei,MiFi Huawei E5573 4G Prepago WOM,9,19.990
99941077,ZTE,Mifi ZTE MF920u1 4G Prepago WOM,9,26.990
99923982,Huawei,Router Huawei B310 WOM,1,53.990
99934010,Huawei,Router Huawei B311 WOM,1,46.990
Barras de Sonido,,,,
99930115,JBL,Soundbar Bluetooth Bar 2.0,1,89.989
Baterías de Notebooks,,,,
99930152,PCF OEM,"Batería alternativa para Notebook Dell Inspiron 13R 14R 15R3010 4010 Vostro",1,2.990
Bolsos Tablets,,,,
99938860,Case Logic,"Funda Tablet  8"" con elástico Negra",1,4.990
99944808,Kensington,"Funda Universal para Tablets de 10"" y 11"" Negra",1,4.990
99938862,Case Logic,"Funda para tablet de 10"" estilo libreta con cierre de elastico",1,2.990
99942940,Targus,"Mica Protectora para iPad® 10.2"" (8th and 7th gen.)",1,1.990
CPU Intel s1151,,,,
99924539,Intel,CPU Core i7-7700K 4.2GHz 8MB (1151),1,69.990
99936158,Intel,CPU Intel Core i3-9100 3.6GHz  6MB (1151-v2),1,39.990
CPU Intel s1700,,,,
99945278,Intel,CPU Intel Core i3-12100F 3.30GHz 12MB (s1700),1,69.990
Cables,,,,
99943323,Spektra,Cable USB 4.0 Spektra,1,5.989
Cables Adaptadores Audio,,,,
99937740,Spektra,Cable Audio 3.5mm Jack a Jack 1.8m,1,490
99940149,Spektra,Cable Audio Estéreo 2 XLR hembra a XLR macho - 3mts,2,490
99923273,Spektra,Cable Audio Estéreo 3.5mm a 3.5mm 90° - 2mts,1,490
99923272,Spektra,Cable Audio Estéreo 3.5mm macho a 3.5mm hembra - 3mts,1,490
99923277,Spektra,Cable Audio Estéreo XLR Macho a 2xXLR Hembra - 3mts,1,490
99937739,Spektra,Cable USB C a salida Jack 3.5mm 1.2m,1,3.990
99923281,Spektra,Cable Óptico de Audio Digital mini 3.5mm - 3mts,1,2.990
Cables Adaptadores Video,,,,
9992004,Sapphire,Adaptador Activo Mini DisplayPort a DVI (EyeFinity),1,7.990
99937660,Spektra,Adaptador HDMI Hembra a HDMI Macho 90°,1,1.990
9991280,Spektra,Adaptador de DVI-I macho a VGA hembra,43,490
99935215,One For All,Cable Componente A/v Compuesto,1,990
9998955,Spektra,Cable Extensión para Monitor VGA m/h 15 pins  3.0m,10,990
9998952,Spektra,Cable Video DVI-I macho / VGA macho 1.8m,3,990
9991274,Spektra,Cable Video HDMI macho / DVI-D macho 1.8m,1,990
99934805,Spektra,Cables HDMI 1.4 de 1.8 metros,1,1.990
SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
Cables Coaxiales,,,,
99926315,Spektra,Cable Coaxial 5M RP-SMA Macho a Macho,2,2.990
Cables Datos / USB,,,,
99944564,Satechi,Adaptador USB a USB-C,2,9.990
99944569,Satechi,Adaptador USB-C a USB,4,4.990
99934149,Spektra,Cable SATA (Serial-Ata) Datos (8P)  90,1,490
99934148,Spektra,Cable SATA (Serial-Ata) Datos (8P) 180°,1,490
99937733,Spektra,Cable USB 3.1 a USB  B 1.8m,1,490
Cables Desktop,,,,
99930178,Silverstone,Cable 8 pin a  EPS12V 4+4 pin,1,990
99930167,Silverstone,Pack de cables PSU,1,7.990
Cables Poder,,,,
99919868,Tripp Lite,Adaptador de Salida C13 a Universal,2,2.990
99919152,PCF OEM,Cable de Poder y Spliter Molex a SATA 17 cm,1,1.990
Cables de Red,,,,
99915076,Exelink,Cable Telefónico + Conectores RJ11 - 2.1mts,3,990
99931944,Spektra,"Cable patch cord UTP CAT5E + Conectores RJ45 0.6m -100% Cobre",1,990
Cables y Adaptadores,,,,
99913758,Apple,Adaptador 30 Pines a VGA MC552ZM/B,1,6.180
99936334,Apple,Adaptador HDMI a DVI,1,9.989
99920677,Apple,Adaptador Lightning a  USB,6,9.989
99919993,Apple,Adaptador Lightning a Micro USB,11,9.989
99913512,Apple,Adaptador Mini DisplayPort a DVI-D para Macbook,1,9.989
