SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
99935215,One For All,Cable Componente A/v Compuesto,1,792
9998955,Spektra,Cable Extensión para Monitor VGA m/h 15 pins  3.0m,10,792
9998953,Spektra,Cable Video DVI-D macho / DVI-D macho 1.8m,1,792
99950104,Spektra,LIQ - Adaptador de DVI-I macho a VGA hembra,1,1.757
Cables Coaxiales,,,,
SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
99926315,Spektra,Cable Coaxial 5M RP-SMA Macho a Macho,2,2.392
Cables Datos / USB,,,,
99944569,Satechi,Adaptador USB-C a USB,2,3.992
99950106,Spektra,LIQ - Cable SATA (Serial-Ata) Datos (7P),1,916
Cables Poder,,,,
99919868,Tripp Lite,Adaptador de Salida C13 a Universal,2,2.392
9998777,Spektra,Cable Poder Tipo 8 - 1.8m,1,392
99919152,PCF OEM,Cable de Poder y Spliter Molex a SATA 17 cm,1,1.592
Cables de Red,,,,
99915076,Exelink,Cable Telefónico + Conectores RJ11 - 2.1mts,3,792
99931944,Spektra,"Cable patch cord UTP CAT5E + Conectores RJ45 0.6m -100% Cobre",1,792
99949963,Ukbling,LIQ - UK Patch Cord UTP Cat.5E Azul rollo de 100mt,2,38.111
Cables y Adaptadores,,,,
99913758,Apple,Adaptador 30 Pines a VGA MC552ZM/B,2,4.944
99919993,Apple,Adaptador Lightning a Micro USB,3,7.991
99937456,Apple,Adaptador de USB-C a entrada de 3.5 mm para audífonos,2,4.990
99937458,Apple,Adaptador de conector Lightning a AV digital,2,15.992
99919984,Apple,Apple Mini Display Port to VGA Adapter,2,7.991
99919979,Apple,Cable AV compuesto de Apple,1,4.990
99937484,Apple,Cable de carga USB-C (2 m),1,7.991
Candados y Seguridad,,,,
99936087,Kensington,Cable  ClickSafe 2.0 con Kit  Dell®,10,3.992
99914049,Kensington,"Candado Notebook Clicksafe con llave 1,5 mts",2,3.990
99924156,Targus,"Candado Notebook Defcon con clave 1,98 mts",1,3.992
99924157,Targus,"Candado Notebook Eco con clave 1,5 mts",7,3.992
9994655,Kensington,Candado Notebook MicroSaver con llave 1.8 mts,3,2.990
99922128,Kensington,"Candado Notebook MiniSaver para Ultrabook con llave 1,8mts",14,3.992
Capturadoras de Video,,,,
99937942,Gear Gamer,Capturadora Gamer Leeroy 1080P HD,1,20.792
Carcasas,,,,
99926327,GSM,Carcasa Iphone 7 Negro,1,2.392
99923913,Samsung,Carcasa J7 2016 Flip Wallet - Negro,1,3.992
99927443,GSM,Carcasa Moto G4 Negra,1,392
99927448,GSM,Carcasa Samsung J5 Prime Negra,1,392
27453,GSM,Carcasa Samsung J7 Prime Fucsia,1,392
99927452,GSM,Carcasa Samsung J7 Prime Negra,1,392
27452,GSM,Carcasa Samsung J7 Prime Negra,1,392
SKU,Marca,Nombre,Stock,"Precio Unitarioc/Iva"
33729,MobileHUT,Carcasa Y9 2019 Negra,1,690
18054,Samsung,Para Galaxy Grand 2 Duos carcasa flip wallet negra,1,392
Cargadores Notebooks,,,,
99946522,Spektra,"Cargador alternativo para Notebook Dell, 45W, 19.5V, 2.31A,conector 4.5mm*3.0mm C/Cable de Poder",1,8.792
99946528,Spektra,"Cargador alternativo para Notebook HP, 65W, 19.5V, 3.33A,conector 7.4*5mm C/Cable de Poder",1,7.192
99940629,Spektra,"Cargador alternativo para Notebook HP, 90W, 19V, 4.74A,conector 7.4mm*5mm",1,4.792
99946534,Spektra,"Cargador alternativo para Notebook Lenovo, 65W, 20V,3.25A, Modelo Yoga C/Cable de Poder",2,7.192
Cargadores para automóvil,,,,
99916833,Cygnett,Cargador de Auto con cable 30 Pin 1M Cygnett Negro,1,792
Cargadores para casa,,,,
99916842,PCF OEM,"Cargador (Adaptador) USB para Auto y Casa con CableRetractil 30 pin para iPhone 4/4S",3,2.392
99928967,Apple,"Cargador (Adaptador) de casa  Apple 5W para iphone/iPadsin cable SEC",1,4.990
99917878,Apple,Cargador (Adaptador) de casa 5W para iphone/iPad Sin cable,8,4.990
99926764,Apple,Cargador (Adaptador) de casa 5W para iphone/iPad Sin cable,6,4.990
99929337,Spektra,"Cargador (Adaptador) de casa universal Spektra con puertoUSB sin Cable SEC",1,1.490
Cartuchos de Tinta y Botellas para Impresoras,,,,
99933417,Epson,Cartucho de Tinta Original Epson SJIC22P Amarillo,1,990
99933419,Epson,Cartucho de Tinta Original Epson SJIC22P Cyan,1,990
99933418,Epson,Cartucho de Tinta Original Epson SJIC22P Magenta,1,990
99933420,Epson,Cartucho de Tinta Original Epson SJIC22P Negro,1,990
999437,Epson,Cartucho de Tinta Original Epson T073120-AL Negro,1,990
